kanji,kname,kstroke,kmeaning,kgrade,kunyomi_ja,kunyomi,onyomi_ja,onyomi,examples,radical,rad_order,rad_stroke,rad_name_ja,rad_name,rad_meaning,rad_position_ja,rad_position
覧,(ten)ran(kai),17,"look over, see",6,,n/a,ラン,ran,"[ [ ""要覧（ようらん）"", ""outline, survey, handbook"" ], [ ""一覧表（いちらんひょう）"", ""list, table"" ], [ ""観覧車（かんらんしゃ）"", ""Ferris wheel"" ], [ ""展覧会（てんらんかい）"", ""exhibition"" ], [ ""博覧会（はくらんかい）"", ""fair, exhibition, exposition"" ], [ ""一覧する（いちらんする）"", ""take a glance, look over"" ], [ ""回覧する（かいらんする）"", ""circulate (a magazine, etc.)"" ], [ ""ご覧になる（ごらんになる）"", ""look [hon.]"" ] ]",⾒,179,7,みる,miru,to see,,
裏,ri-ura,13,"rear, reverse side, back",6,うら,ura,リ,ri,"[ [ ""裏面（りめん）"", ""back, reverse side"" ], [ ""表裏（ひょうり）"", ""front & back, inside & outside"" ], [ ""脳裏（のうり）"", ""one's mind"" ], [ ""裏（うら）"", ""back, reverse side"" ], [ ""裏通り（うらどおり）"", ""side street, back street"" ], [ ""裏口（うらぐち）"", ""backdoor, rear entrance"" ], [ ""裏側（うらがわ）"", ""back, reverse side"" ], [ ""裏表（うらおもて）"", ""both sides, a double-dealer"" ], [ ""裏付ける（うらづける）"", ""support, corroborate, vouch"" ], [ ""裏切る（うらぎる）"", ""betray"" ], [ ""裏返す（うらがえす）"", ""turn inside out, turn over"" ] ]",⾐,177,6,ころも,koromo,clothing,,
臨,rin-nozo(mu),18,"be present at, face, confront",6,のぞ、のぞむ,"nozo, nozomu",リン,rin,"[ [ ""臨終（りんじゅう）"", ""deathbed, dying hour"" ], [ ""臨時（りんじ）"", ""temporary, extraordinary"" ], [ ""臨場感（りんじょうかん）"", ""(stage, personal) presence"" ], [ ""臨床医（りんしょうい）"", ""clinician"" ], [ ""臨機応変（りんきおうへん）"", ""according to circumstance"" ], [ ""臨席する（りんせきする）"", ""attend, be present"" ], [ ""君臨する（くんりんする）"", ""reign, control, dictate"" ], [ ""臨む（のぞむ）"", ""look out on, face, deal with"" ] ]",⾂,203,6,しん,shin,"retainer, minister",,
朗,hoga(rakana),10,"cheerful, clear, bright",6,ほが、ほがらかな,"hoga, hogarakana",ロウ,rou,"[ [ ""朗報（ろうほう）"", ""good news"" ], [ ""明朗な（めいろうな）"", ""bright, clear, cheerful"" ], [ ""朗々と（ろうろうと）"", ""clear, sonorous, full-sounding"" ], [ ""朗読する（ろうどくする）"", ""read aloud, recite"" ], [ ""朗らかな（ほがらかな）"", ""bright, cheerful"" ] ]",⽉,95,4,つき,tsuki,"moon, month, period",,
依,i(raisuru),8,depend on,n/a,,n/a,イ、エ,"i, e","[ [ ""依頼心（いらいしん）"", ""spirit of dependence"" ], [ ""依頼する（いらいする）"", ""request [v.t.]"" ], [ ""依存する（いぞんする）"", ""depend on, rely on"" ], [ ""依拠する（いきょする）"", ""based on"" ], [ ""依然として（いぜんとして）"", ""still, as yet, as of old"" ], [ ""帰依する（きえする）"", ""devote oneself to (religion)"" ] ]",⺅,11,2,にんべん,ninben,person ,へん,hen
違,i-chiga(u),13,"differ, violate, different, be mistaken",n/a,ちが、ちがう、ちがえる,"chiga, chigau, chigaeru",イ,i,"[ [ ""違憲（いけん）"", ""unconstitutionality"" ], [ ""違和感（いわかん）"", ""feeling that something is wrong"" ], [ ""違法な（いほうな）"", ""illegal"" ], [ ""違反する（いはんする）"", ""violate, transgress"" ], [ ""相違する（そういする）"", ""be different, vary, disagree"" ], [ ""違う（ちがう）"", ""differ"" ], [ ""食い違う（くいちがう）"", ""clash, run counter to"" ], [ ""間違い（まちがい）"", ""mistake [n.]"" ], [ ""勘違い（かんちがい）"", ""misunderstanding, wrong guess"" ], [ ""間違える（まちがえる）"", ""err, make a mistake"" ] ]",⻌,72,3,しんにょう,shinnyou,"road, walk, to advance",にょう,nyou
鋭,ei-surudo(i),15,sharp,n/a,するど、するどい,"surudo, surudoi",エイ,ei,"[ [ ""鋭角（えいかく）"", ""acute angle"" ], [ ""新鋭（しんえい）"", ""new & powerful, fresh"" ], [ ""精鋭（せいえい）"", ""elite, picked, best"" ], [ ""鋭利な（えいりな）"", ""sharp"" ], [ ""鋭敏な（えいびんな）"", ""sharp, keen"" ], [ ""先鋭な（せんえいな）"", ""radical"" ], [ ""鋭い（するどい）"", ""pointed, sharp, keen"" ] ]",,206,8,かねへん,kanehen,"metal, gold, mineral",へん,hen
煙,kemu(i),13,smoke,n/a,けむ、けむる、けむい、けむり,"kemu, kemuru, kemui, kemuri",エン,en,"[ [ ""煙突（えんとつ）"", ""chimney"" ], [ ""煙幕（えんまく）"", ""smokescreen"" ], [ ""黒煙（こくえん）"", ""black smoke"" ], [ ""発煙筒（はつえんとう）"", ""smoke candle"" ], [ ""喫煙所（きつえんじょ）"", ""smoking area"" ], [ ""禁煙する（きんえんする）"", ""quit smoking"" ], [ ""煙（けむり）"", ""smoke, fumes"" ], [ ""煙る（けむる）"", ""smoke, appear dim [v.i.]"" ], [ ""煙たい（けむたい）"", ""smoky, awkward feeling [adj.]"" ] ]",,111,4,ひへん,hihen,fire,へん,hen
書,sho-ka(ku),10,"write, book",2,か、かく,"ka, kaku",ショ,sho,"[ [ ""書庫（しょこ）"", ""archive"" ], [ ""書斎（しょさい）"", ""study (room)"" ], [ ""書道（しょどう）"", ""calligraphy"" ], [ ""辞書（じしょ）"", ""dictionary"" ], [ ""秘書（ひしょ）"", ""(private) secretary"" ], [ ""図書館（としょかん）"", ""library"" ], [ ""教科書（きょうかしょ）"", ""text book"" ], [ ""参考書（さんこうしょ）"", ""reference book"" ], [ ""証明書（しょうめいしょ）"", ""certificate"" ], [ ""書く（かく）"", ""write"" ], [ ""横書き（よこがき）"", ""writing horizontally"" ] ]",⽇,92,4,ひ,hi,"sun, day, time",,
汚,yogo(su),6,dirty,n/a,けが、よご、きたな、けがす、けがれる、けがらわしい、よごす、よごれる、きたない,"kega, yogo, kitana, kegasu, kegareru, kegarawashii, yogosu, yogoreru, kitanai",オ,o,"[ [ ""汚水（おすい）"", ""filthy water, sewage"" ], [ ""汚物（おぶつ）"", ""filth, muck, dirt"" ], [ ""汚職（おしょく）"", ""corruption, graft"" ], [ ""汚名（おめい）"", ""stigma, dishonor, infamy"" ], [ ""汚点（おてん）"", ""stain, blot, flaw, disgrace"" ], [ ""汚染する（おせんする）"", ""pollute, contaminate"" ], [ ""汚す（けがす）"", ""disgrace, dishonor [v.t.]"" ], [ ""汚れる（けがれる）"", ""be corrupted, be polluted [v.i.]"" ], [ ""汚らわしい（けがらわしい）"", ""filthy, obscene, dirty"" ], [ ""汚す（よごす）"", ""make dirty[v.t.]"" ], [ ""汚れる（よごれる）"", ""get dirty, become dirty [v.i.]"" ], [ ""汚い（きたない）"", ""dirty, unclean, filthy"" ] ]",⺡,76,3,さんずい,sanzui,water,へん,hen
押,ou-o(saeru),8,push,n/a,お、おす、おさえる,"o, osu, osaeru",オウ,ou,"[ [ ""押収する（おうしゅうする）"", ""seize, confiscate"" ], [ ""押印する（おういんする）"", ""affix one's seal"" ], [ ""押捺する（おうなつする）"", ""seal, stamp, imprint"" ], [ ""押す（おす）"", ""push, press, stamp"" ], [ ""押し売り（おしうり）"", ""high-pressure salesmanship"" ], [ ""押し問答（おしもんどう）"", ""dispute, heated Q&A"" ], [ ""押し入れ（おしいれ）"", ""closet"" ], [ ""押さえる（おさえる）"", ""press down, stop, seize"" ] ]",⺘,77,3,てへん,tehen,hand,へん,hen
欧,(sei)ou,8,Europe,n/a,,n/a,オウ,ou,"[ [ ""欧州（おうしゅう）"", ""Europe"" ], [ ""欧米（おうべい）"", ""Europe and America, the West"" ], [ ""西欧（せいおう）"", ""Western Europe"" ], [ ""東欧（とうおう）"", ""Eastern Europe"" ], [ ""南欧（なんおう）"", ""Southern Europe"" ], [ ""北欧（ほくおう）"", ""Northern Europe"" ] ]",⽋,99,4,あくび,akubi,"to lack, yawn",,
菓,(o)ka(shi),11,"confectionery, cake",n/a,,n/a,カ,ka,"[ [ ""菓子（かし）"", ""pastry"" ], [ ""菓子屋（かしや）"", ""confectionery shop"" ], [ ""銘菓（めいか）"", ""cake of a well-known brand"" ], [ ""和菓子（わがし）"", ""Japanese confectionery"" ], [ ""洋菓子（ようがし）"", ""Western confectionery"" ], [ ""水菓子（みずがし）"", ""fruit"" ] ]",⺾,71,3,くさかんむり,kusakanmuri,grass,かんむり,kanmuri
靴,kutsu,13,shoes,n/a,くつ,kutsu,カ,ka,"[ [ ""軍靴（ぐんか）"", ""military shoes"" ], [ ""製靴業（せいかぎょう）"", ""the shoemaking industry"" ], [ ""靴（くつ）"", ""shoes, footwear"" ], [ ""靴屋（くつや）"", ""shoemaker, shoe store"" ], [ ""靴下（くつした）"", ""socks"" ], [ ""靴墨（くつずみ）"", ""shoe polish"" ], [ ""靴音（くつおと）"", ""walking sound, footsteps"" ], [ ""革靴（かわぐつ）"", ""leather shoes"" ], [ ""長靴（ながぐつ）"", ""long boots"" ], [ ""運動靴（うんどうぐつ）"", ""sports shoes, sneakers"" ], [ ""紳士靴（しんしぐつ）"", ""men's shoes"" ] ]",⾰,215,9,つくりがわ,tsukurigawa,leather,,
掛,(mi)ka(ke),11,"set, hang",n/a,か、かける、かけ、かかる、かかり,"ka, kakeru, kake, kakaru, kakari",,n/a,"[ [ ""掛け算（かけざん）"", ""multiplication"" ], [ ""腰掛け（こしかけ）"", ""seat, bench"" ], [ ""仕掛け（しかけ）"", ""device, trick, mechanism"" ], [ ""掛ける（かける）"", ""hang, cover, sit down, pour [v.t.]"" ], [ ""出掛ける（でかける）"", ""got out, depart"" ], [ ""言い掛ける（いいかける）"", ""begin speaking"" ], [ ""心掛ける（こころがける）"", ""bear in mind, aim to"" ], [ ""見せ掛ける（みせかける）"", ""pretend, feign"" ], [ ""掛かる（かかる）"", ""hang, be locked [v.i.]"" ], [ ""掛（かかり）"", ""charge, duty, post"" ], [ ""親掛かり（おやがかり）"", ""dependent on one's parents"" ] ]",⺘,77,3,てへん,tehen,hand,へん,hen
汗,ase,6,sweat,n/a,あせ,ase,カン,kan,"[ [ ""汗腺（かんせん）"", ""sweat gland"" ], [ ""発汗する（はっかんする）"", ""sweat [v.i.]"" ], [ ""汗（あせ）"", ""sweat, perspiration"" ], [ ""汗かき（あせかき）"", ""person who sweats a lot"" ], [ ""汗だく（あせだく）"", ""dripping with sweat"" ], [ ""汗ばむ（あせばむ）"", ""be slightly sweaty"" ], [ ""冷や汗（ひやあせ）"", ""cold sweat"" ] ]",⺡,76,3,さんずい,sanzui,water,へん,hen
缶,kan(zume),6,can,n/a,,n/a,カン,kan,"[ [ ""缶（かん）"", ""can, tin"" ], [ ""缶切り（かんきり）"", ""can opener"" ], [ ""缶詰め（かんづめ）"", ""canned goods, tin can"" ], [ ""空き缶（あきかん）"", ""empty can"" ] ]",⽸,159,6,みずがめ,mizugame,earthen jar,,
患,kan-wazura(u),11,"affected by disease, be ill, suffer",n/a,わずら、わずらう,"wazura, wazurau",カン,kan,"[ [ ""患者（かんじゃ）"", ""patient [n.]"" ], [ ""患部（かんぶ）"", ""affected part"" ], [ ""急患（きゅうかん）"", ""emergency case"" ], [ ""患う（わずらう）"", ""fall ill"" ], [ ""長患い（ながわずらい）"", ""long illness"" ] ]",⼼,80,4,こころ,kokoro,"heart, mind, spirit",,
幾,iku(tsu),12,"how many/much, some",n/a,いく、いくつ、いくら,"iku, ikutsu, ikura",キ,ki,"[ [ ""幾何学（きかがく）"", ""geometry"" ], [ ""幾ら（いくら）"", ""how much?, how many?"" ], [ ""幾つ（いくつ）"", ""how many?, how old?"" ], [ ""幾らか（いくらか）"", ""some, somewhat, a little"" ], [ ""幾日も（いくにちも）"", ""for many days, for some days"" ], [ ""幾分（いくぶん）"", ""somewhat"" ], [ ""幾度も（いくども）"", ""many times, often"" ] ]",⺓,62,3,いとがしら,itogashira,"young, slight",,
秋,aki,9,autumn,2,あき,aki,シュウ,shuu,"[ [ ""秋分（しゅうぶん）"", ""autumn equinox"" ], [ ""秋（あき）"", ""autumn"" ], [ ""秋風（あきかぜ）"", ""autumn breeze"" ], [ ""秋学期（あきがっき）"", ""autumn semester/quarter"" ] ]",⽲,145,5,のぎへん,nogihen,grain,へん,hen
詰,kitsu-tsu(meru),13,"reprimand, stuff, closely packed, cram",n/a,つ、つめる、つまる、つむ,"tsu, tsumeru, tsumaru, tsumu",キツ,kitsu,"[ [ ""詰問する（きつもんする）"", ""cross-examine"" ], [ ""詰める（つめる）"", ""pack, fill, plug, shorten [v.t.]"" ], [ ""缶詰め（かんづめ）"", ""canned goods, tin can"" ], [ ""箱詰め（はこづめ）"", ""packed in a box [n.]"" ], [ ""詰まる（つまる）"", ""be blocked, be packed [v.i.]"" ], [ ""鼻詰まり（はなづまり）"", ""nasal congestion"" ], [ ""気詰まり（きづまり）"", ""feel ill at ease, constraint [n.]"" ], [ ""詰む（つむ）"", ""close, become fine"" ] ]",,183,7,ごんべん,gonben,"words, to speak, say",へん,hen
叫,sake(bu),6,"shout, scream",n/a,さけ、さけぶ,"sake, sakebu",キョウ,kyou,"[ [ ""阿鼻叫喚（あびきょうかん）"", ""agonizing cries, pandemonium"" ], [ ""絶叫する（ぜっきょうする）"", ""scream, shout [v.i.]"" ], [ ""叫ぶ（さけぶ）"", ""scream, shout [v.i.]"" ], [ ""叫び声（さけびごえ）"", ""shout, scream [n.]"" ] ]",,35,3,くちへん,kuchihen,mouth,へん,hen
況,(kin)kyou,8,"conditions, situation, circumstances",n/a,,n/a,キョウ,kyou,"[ [ ""状況（じょうきょう）"", ""state of affairs, circumstances"" ], [ ""戦況（せんきょう）"", ""progress of a battle"" ], [ ""近況（きんきょう）"", ""recent situation"" ], [ ""実況（じっきょう）"", ""real situation, actual scene"" ], [ ""好況（こうきょう）"", ""healthy economy, prosperity"" ], [ ""不況（ふきょう）"", ""recession, depression, slump"" ], [ ""盛況（せいきょう）"", ""success, prosperity, flourishing"" ], [ ""市況（しきょう）"", ""market conditions"" ] ]",⺡,76,3,さんずい,sanzui,water,へん,hen
挟,hasa(maru),9,"hold between, interpose",n/a,はさ、はさむ、はさまる,"hasa, hasamu, hasamaru",キョウ,kyou,"[ [ ""挟撃（きょうげき）"", ""pincer movement"" ], [ ""挟む（はさむ）"", ""interpose, insert, pinch [v.t.]"" ], [ ""挟み撃ち（はさみうち）"", ""pincer attack"" ], [ ""挟まる（はさまる）"", ""get between, be caught in [v.i.]"" ] ]",⺘,77,3,てへん,tehen,hand,へん,hen
偶,guu(zen),11,"by chance, even number, (married)couple",n/a,,n/a,グウ,guu,"[ [ ""偶数（ぐうすう）"", ""even number"" ], [ ""偶像（ぐうぞう）"", ""idol, icon, image"" ], [ ""偶然（ぐうぜん）"", ""fortuity, chance, accident"" ], [ ""配偶者（はいぐうしゃ）"", ""spouse"" ], [ ""偶発的な（ぐうはつてきな）"", ""accidental, incidental"" ] ]",⺅,11,2,にんべん,ninben,person ,へん,hen
隅,guu-sumi,12,"nook, corner",n/a,すみ,sumi,グウ,guu,"[ [ ""一隅（いちぐう）"", ""corner, nook"" ], [ ""隅（すみ）"", ""corner, nook"" ], [ ""隅々（すみずみ）"", ""every nook and corner"" ], [ ""片隅（かたすみ）"", ""corner, nook"" ], [ ""四隅（よすみ）"", ""four corners"" ] ]",⻖,74,3,こざとへん,kozatohen,"hill, mound",へん,hen
掘,kutsu-ho(ru),11,dig,n/a,ほ、ほる,"ho, horu",クツ,kutsu,"[ [ ""掘削する（くっさくする）"", ""dig out, excavate"" ], [ ""発掘する（はっくつする）"", ""excavate, unearth, exhume"" ], [ ""採掘する（さいくつする）"", ""mine [v.t.]"" ], [ ""掘る（ほる）"", ""dig, excavate"" ], [ ""掘り下げる（ほりさげる）"", ""dig down, delve into"" ], [ ""掘り返す（ほりかえす）"", ""dig up, turn up, tear up"" ], [ ""掘り出し物（ほりだしもの）"", ""good buy, bargain, treasure"" ], [ ""露天堀り（ろてんぼり）"", ""open air strip mining"" ] ]",⺘,77,3,てへん,tehen,hand,へん,hen
傾,katamu(ku),13,"incline, lean, tilt",n/a,かたむ、かし、かたむける、かたむく、かしげる,"katamu, kashi, katamukeru, katamuku, kashigeru",ケイ,kei,"[ [ ""傾向（けいこう）"", ""tendency, trend, inclination"" ], [ ""傾度（けいど）"", ""degree of inclination"" ], [ ""傾斜する（けいしゃする）"", ""incline, slant, slope"" ], [ ""右傾する（うけいする）"", ""lean to the (political) right"" ], [ ""左傾する（さけいする）"", ""leaning the (political) left"" ], [ ""傾ける（かたむける）"", ""lean, tip, tilt, slant [v.t.]"" ], [ ""傾く（かたむく）"", ""lean, tip, tilt, slant [v.i.]"" ], [ ""傾き（かたむき）"", ""slope, inclination"" ], [ ""傾げる（かしげる）"", ""lean, tip, tilt, slant [v.t.]"" ], [ ""傾ぐ（かしぐ）"", ""lean, tip, tilt, slant [v.i.]"" ] ]",⺅,11,2,にんべん,ninben,person ,へん,hen
軒,noki,10,"eaves, counter for houses",n/a,のき,noki,ケン,ken,"[ [ ""軒数（けんすう）"", ""number of houses"" ], [ ""一軒（いっけん）"", ""one house"" ], [ ""何軒（なんげん）"", ""how many houses"" ], [ ""一軒家（いっけんや）"", ""an isolated house"" ], [ ""軒（のき）"", ""eaves"" ], [ ""軒下（のきした）"", ""place under the eaves"" ], [ ""軒先（のきさき）"", ""edge of the eaves, frontage"" ], [ ""軒並み（のきなみ）"", ""row of houses, every door"" ] ]",,196,7,くるまへん,kurumahen,"vehicle, wheel, car",へん,hen
枯,ka(reha),9,"wither, blight",n/a,か、かれる、からす,"ka, kareru, karasu",コ,ko,"[ [ ""栄枯盛衰（えいこせいすい）"", ""ups and downs, vicissitudes"" ], [ ""枯渇する（こかつする）"", ""dry up, become exhausted"" ], [ ""枯らす（からす）"", ""let wither, blast [v.t.]"" ], [ ""木枯らし（こがらし）"", ""cold wintry wind"" ], [ ""枯れる（かれる）"", ""whither, be blasted [v.i.]"" ], [ ""枯れ葉（かれは）"", ""dead leaf, withered lead"" ], [ ""枯れ木（かれき）"", ""dead tree, withered tree"" ] ]",,98,4,きへん,kihen,"tree, wood",へん,hen
山,yama,3,mountain,1,やま,yama,サン,san,"[ [ ""富士山（ふじさん）"", ""Mt Fuji"" ], [ ""山脈（さんみゃく）"", ""mountain range"" ], [ ""火山（かざん）"", ""volcano"" ], [ ""登山（とざん）"", ""mountain-climbing"" ], [ ""山（やま）"", ""mountain, pile, climax"" ], [ ""岩山（いわやま）"", ""rocky mountain"" ], [ ""山火事（やまかじ）"", ""bushfire"" ] ]",⼭,54,3,やま,yama,mountain,,
雇,yato(u),12,"employ, charter, hire",n/a,やと、やとう,"yato, yatou",コ,ko,"[ [ ""終身雇用制（しゅうしんこようせい）"", ""system of lifetime employment"" ], [ ""雇用する（こようする）"", ""employ, hire"" ], [ ""解雇する（かいこする）"", ""discharge, fire, dismiss"" ], [ ""雇う（やとう）"", ""employ, hire"" ], [ ""日雇い（ひやとい）"", ""day labor"" ], [ ""雇い主（やといぬし）"", ""employer"" ] ]",⾫,209,8,ふるとり,furutori,small bird,,
更,kou-sara(ni),7,"renew, again, further, furthermore",n/a,さら、ふ、さらに、ふける、ふかす,"sara, fu, sarani, fukeru, fukasu",コウ,kou,"[ [ ""更衣室（こういしつ）"", ""locker room, changing room"" ], [ ""更生する（こうせいする）"", ""rehabilitate, regenerate"" ], [ ""更新する（こうしんする）"", ""renew, update"" ], [ ""変更する（へんこうする）"", ""change, modify, alter"" ], [ ""更に（さらに）"", ""furthermore, again, more"" ], [ ""尚更（なおさら）"", ""all the more, still less"" ], [ ""今更（いまさら）"", ""at this late time"" ], [ ""更かす（ふかす）"", ""stay up late [v.t.]"" ], [ ""夜更かし（よふかし）"", ""staying up late"" ], [ ""更ける（ふける）"", ""get late (time, season) [v.i.]"" ] ]",⽇,92,4,ひ,hi,"sun, day, time",,
肯,kou(teiteki),8,"assent, agree to, consent",n/a,,n/a,コウ,kou,"[ [ ""肯定文（こうていぶん）"", ""affirmative sentence"" ], [ ""肯定する（こうていする）"", ""affirm, agree"" ] ]",⽉,95,4,つき,tsuki,"moon, month, period",,
荒,a(reru),9,"wild, violent, rough, devastate",n/a,あら、あ、あらい、あらす、あれる,"ara, a, arai, arasu, areru",コウ,kou,"[ [ ""荒野（こうや/あらの）"", ""wasteland, wilderness"" ], [ ""荒涼たる（こうりょうたる）"", ""desolate, dreary"" ], [ ""荒廃する（こうはいする）"", ""fall into ruin"" ], [ ""荒らす（あらす）"", ""lay waste, devastate, damage"" ], [ ""荒い（あらい）"", ""rough, rude, wild, harsh"" ], [ ""荒々しい（あらあらしい）"", ""rough, wild, harsh, violent"" ], [ ""荒っぽい（あらっぽい）"", ""rough, rude"" ], [ ""手荒な（てあらな）"", ""violent, rough"" ], [ ""荒れる（あれる）"", ""get stormy, get rough, be ruined"" ], [ ""荒れ地（あれち）"", ""devastated or wasted land"" ] ]",⺾,71,3,くさかんむり,kusakanmuri,grass,かんむり,kanmuri
郊,kou(gaijuutaku),9,"suburb, outskirts",n/a,,n/a,コウ,kou,"[ [ ""郊外（こうがい）"", ""suburb, outskirts"" ], [ ""近郊（きんこう）"", ""suburbs, outskirts, neighboring"" ] ]",⻏,73,3,おおざと,oozato,"village, country, city",つくり,tsukuri
香,kou-kao(ri),9,"sweet smell, fragrance, aroma",n/a,か、かお、かおり、かおる,"ka, kao, kaori, kaoru",コウ、キョウ,"kou, kyou","[ [ ""香水（こうすい）"", ""perfume"" ], [ ""香油（こうゆ）"", ""balm, perfumed oil"" ], [ ""芳香（ほうこう）"", ""perfume, fragrance, aroma"" ], [ ""香ばしい（こうばしい）"", ""aromatic, fragrant"" ], [ ""香車（きょうしゃ）"", ""lance (shogi game)"" ], [ ""香（か）"", ""aroma, fragrance, scent, smell"" ], [ ""色香（いろか）"", ""color & scent, charm [n.]"" ], [ ""移り香（うつりが）"", ""lingering scent"" ], [ ""香り（かおり）"", ""aroma, fragrance, scent, smell"" ] ]",⾹,223,9,かおり,kaori,scent,,
硬,kou-kata(i),12,"hard, firm",n/a,かた、かたい,"kata, katai",コウ,kou,"[ [ ""硬度（こうど）"", ""hardness, solidity"" ], [ ""硬貨（こうか）"", ""coin"" ], [ ""硬派（こうは）"", ""hard-liner"" ], [ ""硬式テニス（こうしきテニス）"", ""tennis (using standard ball)"" ], [ ""強硬な（きょうこうな）"", ""firm, unbending, unyielding"" ], [ ""硬直する（こうちょくする）"", ""stiffen"" ], [ ""硬化する（こうかする）"", ""stiffen, harden, go solid"" ], [ ""硬い（かたい）"", ""solid, hard, stiff, firm"" ] ]",,143,5,いしへん,ishihen,stone,へん,hen
込,(nori)ko(mu),5,"move inward, include, be congested",n/a,こ、こむ、こめる,"ko, komu, komeru",,n/a,"[ [ ""込める（こめる）"", ""include, put into [v.t.]"" ], [ ""閉じ込める（とじこめる）"", ""lock up, shut up, imprison"" ], [ ""引っ込める（ひっこめる）"", ""draw in, take in, retract"" ], [ ""込む（こむ）"", ""be crowded, be thronged [v.i.]"" ], [ ""乗り込む（のりこむ）"", ""board, embark on, get in"" ], [ ""黙り込む（だまりこむ）"", ""sink into silence"" ], [ ""書き込む（かきこむ）"", ""fill in (writing)"" ], [ ""持ち込む（もちこむ）"", ""bring in"" ], [ ""払い込む（はらいこむ）"", ""deposit, make payment"" ], [ ""人込み（ひとごみ）"", ""crowd of people"" ], [ ""税込み（ぜいこみ）"", ""tax included"" ] ]",⻌,72,3,しんにょう,shinnyou,"road, walk, to advance",にょう,nyou
歳,sai(getsu),13,"year, age suffix",n/a,,n/a,サイ、セイ,"sai, sei","[ [ ""歳末（さいまつ）"", ""end of the year"" ], [ ""歳月（さいげつ）"", ""time, years"" ], [ ""歳費（さいひ）"", ""annual expenditure"" ], [ ""歳入（さいにゅう）"", ""annual revenue or income"" ], [ ""歳出（さいしゅつ）"", ""annual expenditure"" ], [ ""一歳（いっさい）"", ""one-year-old"" ], [ ""何歳（なんさい）"", ""how old?, what age?"" ], [ ""万歳（ばんざい）"", ""banzai! (cheer)"" ], [ ""お歳暮（おせいぼ）"", ""year-end, year-end present"" ], [ ""*二十歳（はたち）"", ""twenty years old"" ] ]",⽌,100,4,とめる,tomeru,to stop,,
咲,(gobu)za(ki),9,bloom,n/a,さ、さく,"sa, saku",,n/a,"[ [ ""咲く（さく）"", ""bloom"" ], [ ""早咲き（はやざき）"", ""early blooming, early flowering"" ], [ ""遅咲き（おそざき）"", ""late blooming, late flowering"" ], [ ""狂い咲き（くるいざき）"", ""flowering out of season"" ], [ ""咲き誇る（さきほこる）"", ""be in full bloom"" ], [ ""咲き乱れる（さきみだれる）"", ""bloom profusely"" ] ]",,35,3,くちへん,kuchihen,mouth,へん,hen
雪,setsu-yuki,11,snow,2,ゆき,yuki,セツ,setsu,"[ [ ""積雪（せきせつ）"", ""fallen snow"" ], [ ""新雪（しんせつ）"", ""new snow"" ], [ ""豪雪地帯（ごうせつちたい）"", ""area of heavy snowfall"" ], [ ""雪（ゆき）"", ""snow"" ], [ ""大雪（おおゆき）"", ""heavy snow"" ], [ ""初雪（はつゆき）"", ""first snow (of season)"" ], [ ""雪合戦（ゆきがっせん）"", ""snowball fight"" ], [ ""雪国（ゆきぐに）"", ""snow country"" ], [ ""雪掻き（ゆきかき）"", ""snow plow"" ] ]",⻗,211,8,あめかんむり,amekanmuri,rain,かんむり,kanmuri
脂,shi-abura,10,"fat, grease",n/a,あぶら,abura,シ,shi,"[ [ ""脂肪（しぼう）"", ""fat, grease, blubber"" ], [ ""脂質（ししつ）"", ""lipid, fats, adipose"" ], [ ""油脂（ゆし）"", ""fat, fats and oils"" ], [ ""脂（あぶら）"", ""fat, tallow, lard"" ], [ ""脂身（あぶらみ）"", ""fatty meat"" ], [ ""脂性（あぶらしょう）"", ""tendency to get oily (skin)"" ], [ ""脂っこい（あぶらっこい）"", ""greasy, fatty, oily"" ] ]",,96,4,にくづき,nikuzuki,"meat, flesh",,
湿,shitsu-shime(ru),12,"damp, moisten, humid",n/a,しめ、しめる、しめす,"shime, shimeru, shimesu",シツ,shitsu,"[ [ ""湿度（しつど）"", ""level of humidity"" ], [ ""湿地（しっち）"", ""swamp"" ], [ ""湿気（しっけ）"", ""moisture, humidity, dampness"" ], [ ""湿布（しっぷ）"", ""wet compress, poultice"" ], [ ""加湿器（かしつき）"", ""humidifier"" ], [ ""湿す（しめす）"", ""wet, moisten, dampen [v.t.]"" ], [ ""湿る（しめる）"", ""be wet, be damp, moisten [v.i.]"" ] ]",⺡,76,3,さんずい,sanzui,water,へん,hen
舟,shuu-fune,6,"small boat, ship",n/a,ふね、ふな,"fune, funa",シュウ,shuu,"[ [ ""舟航（しゅうこう）"", ""boating, sailing"" ], [ ""呉越同舟（ごえつどうしゅう）"", ""bitter enemies in the same boat"" ], [ ""舟（ふね）"", ""ship, boat, watercraft"" ], [ ""釣り舟（つりぶね）"", ""fishing boat"" ], [ ""舟大工（ふなだいく）"", ""shipwright"" ], [ ""舟着き場（ふなつきば）"", ""wharf"" ] ]",⾈,170,6,ふね,fune,"ship, boat",,
柔,juu-yawa(rakai),9,soft,n/a,やわ、やわらかい、やわな,"yawa, yawarakai, yawana",ジュウ、ニュウ,"juu, nyuu","[ [ ""柔道（じゅうどう）"", ""judo"" ], [ ""柔軟な（じゅうなんな）"", ""flexible, lithe"" ], [ ""柔和な（にゅうわな）"", ""gentle, mild, meek"" ], [ ""柔らかい（やわらかい）"", ""soft, tender, limp"" ] ]",⽊,97,4,き,ki,"tree, wood",,
