ka_utf;kname;meaning;kstroke;onyomi_ja;onyomi;kunyomi_ja;kunyomi;grade;examples;dick;dicn;rad_utf;rad_order;rad_name_ja;rad_name;rad_meaning;rad_stroke;rad_position_ja;rad_position
秘;hi(mitsu);secret;10;ヒ;hi;ひ、ひめる;hi, himeru;6;"[ [ ""秘密（ひみつ）"", ""secret, secrecy"" ], [ ""秘訣（ひけつ）"", ""key, the secret (of)"" ], [ ""秘書（ひしょ）"", ""secretary"" ], [ ""秘伝（ひでん）"", ""secret, mystery, secret formula"" ], [ ""秘蔵（ひぞう）"", ""treasure, prize, cherish"" ], [ ""秘宝（ひほう）"", ""treasure, treasured article"" ], [ ""極秘（ごくひ）"", ""absolute secrecy"" ], [ ""便秘（べんぴ）"", ""constipation"" ], [ ""神秘的な（しんぴてきな）"", ""mysterious"" ], [ ""黙秘する（もくひする）"", ""keep silent, stand mute"" ], [ ""秘める（ひめる）"", ""hide, keep to oneself"" ] ]";787;3281;⽲;145;のぎへん;nogihen;grain;5;へん;hen
腹;fuku-hara;belly, heart, mind;13;フク;fuku;はら;hara;6;"[ [ ""腹部（ふくぶ）"", ""abdomen"" ], [ ""腹痛（ふくつう）"", ""stomach ache, abdominal pain"" ], [ ""腹心（ふくしん）"", ""confidant, trusted friend"" ], [ ""満腹（まんぷく）"", ""full, glutted [n.]"" ], [ ""空腹（くうふく）"", ""hunger"" ], [ ""切腹する（せっぷくする）"", ""commit seppuku"" ], [ ""立腹する（りっぷくする）"", ""anger, get angry"" ], [ ""腹（はら）"", ""abdomen, belly, stomach"" ], [ ""腹違い（はらちがい）"", ""born of a different mother [n.]"" ], [ ""腹を立てる（はらをたてる）"", ""take offense, get angry [v.t.]"" ], [ ""腹が立つ（はらがたつ）"", ""take offense, get angry [v.i.]"" ] ]";710;3800;;96;にくづき;nikuzuki;meat, flesh;4;;
奮;fun(sensuru);rouse up, be enlivened;16;フン;fun;ふる、ふるう;furu, furuu;6;"[ [ ""奮発する（ふんぱつする）"", ""make a great effort, splurge"" ], [ ""奮起する（ふんきする）"", ""stir, rouse oneself"" ], [ ""奮戦する（ふんせんする）"", ""fight hard"" ], [ ""発奮する（はっぷんする）"", ""be stimulated, be inspired"" ], [ ""興奮する（こうふんする）"", ""get excited, be excited"" ], [ ""奮う（ふるう）"", ""show, wield"" ] ]";1532;1184;⼤;43;だい;dai;large, big;3;;
手;te;hand;4;シュ、ズ;shu, zu;て、た;te, ta;1;"[ [ ""握手する（あくしゅする）"", ""shake hands"" ], [ ""選手（せんしゅ）"", ""player (in game)"" ], [ ""手話（しゅわ）"", ""sign language"" ], [ ""上手な（じょうずな）"", ""skillful"" ], [ ""手紙（てがみ）"", ""letter"" ], [ ""手帳（てちょう）"", ""notebook"" ], [ ""手伝う（てつだう）"", ""help"" ], [ ""手前（てまえ）"", ""in front of oneself, this side"" ], [ ""お手洗い（おてあらい）"", ""toilet"" ], [ ""手綱（たづな）"", ""bridle"" ], [ ""下手な（へたな）"", ""unskillful"" ] ]";2155;1827;⼿;84;て;te;hand;4;;
陛;(tennou)hei(ka);imperial palace steps;10;ヘイ;hei;;n/a;6;"[ [ ""陛下（へいか）"", ""your Majesty"" ], [ ""天皇陛下（てんのうへいか）"", ""His Majesty the Emperor"" ], [ ""皇后陛下（こうごうへいか）"", ""Her majesty the Empress"" ], [ ""国王陛下（こくおうへいか）"", ""His Majesty the King"" ], [ ""女王陛下（じょおうへいか）"", ""Her Majesty the Queen"" ] ]";330;4988;⻖;74;こざとへん;kozatohen;hill, mound;3;へん;hen
補;ogina(u);supplement, supply, make up for;12;ホ;ho;おぎな、おぎなう;ogina, oginau;6;"[ [ ""補欠（ほけつ）"", ""substitute, filling a vacancy"" ], [ ""候補者（こうほしゃ）"", ""candidate, applicant"" ], [ ""補佐する（ほさする）"", ""aid, help, assist, advise"" ], [ ""補助する（ほじょする）"", ""help, assist, support, aid"" ], [ ""補導する（ほどうする）"", ""guide, direct, protect"" ], [ ""補足する（ほそくする）"", ""supplement, complement"" ], [ ""補償する（ほしょうする）"", ""compensate"" ], [ ""補充する（ほじゅうする）"", ""supplement, replenish, fill up"" ], [ ""補給する（ほきゅうする）"", ""supply, replenish"" ], [ ""補正する（ほせいする）"", ""revise, correct"" ], [ ""補習する（ほしゅうする）"", ""give supplementary lessons"" ], [ ""補う（おぎなう）"", ""fill up (a vacancy), make up"" ] ]";809;4242;⻂;151;ころもへん;koromohen;clothing;5;へん;hen
宝;takara;treasure;8;ホウ;hou;たから;takara;6;"[ [ ""宝庫（ほうこ）"", ""treasure house, treasury"" ], [ ""宝石（ほうせき）"", ""gem, jewel"" ], [ ""財宝（ざいほう）"", ""treasure"" ], [ ""国宝（こくほう）"", ""national treasure"" ], [ ""家宝（かほう）"", ""heirloom"" ], [ ""宝（たから）"", ""treasure"" ], [ ""宝くじ（たからくじ）"", ""lottery"" ], [ ""宝物（たからもの）"", ""treasure, treasured item"" ], [ ""宝探し（たからさがし）"", ""treasure hunt"" ], [ ""宝島（たからじま）"", ""treasure island"" ] ]";1415;1293;⼧;48;うかんむり;ukanmuri;roof, house;3;かんむり;kanmuri
棒;(ai)bou;rod, stick, pole;12;ボウ;bou;;n/a;6;"[ [ ""棒（ぼう）"", ""pole, rod, stick"" ], [ ""棒状（ぼうじょう）"", ""cylindrical"" ], [ ""棒立ち（ぼうだち）"", ""stand bolt upright [n.]"" ], [ ""棒読み（ぼうよみ）"", ""read in monotone [n.]"" ], [ ""相棒（あいぼう）"", ""partner, pal, accomplice"" ], [ ""警棒（けいぼう）"", ""police baton, nightstick"" ], [ ""泥棒（どろぼう）"", ""thief, burglar, robber, theft"" ], [ ""延べ棒（のべぼう）"", ""ingot"" ], [ ""用心棒（ようじんぼう）"", ""bodyguard"" ] ]";671;2302;;98;きへん;kihen;tree, wood;4;へん;hen
幕;(uchi)maku;curtain, shogunate;13;マク、バク;maku, baku;;n/a;6;"[ [ ""幕（まく）"", ""curtain (theater), hanging"" ], [ ""天幕（てんまく）"", ""curtain, tent, pavilion"" ], [ ""内幕（ないまく）"", ""inside information"" ], [ ""煙幕（えんまく）"", ""smoke screen"" ], [ ""垂れ幕（たれまく）"", ""hanging screen, curtain"" ], [ ""除幕式（じょまくしき）"", ""unveiling ceremony"" ], [ ""開幕する（かいまくする）"", ""raise the curtain"" ], [ ""幕府（ばくふ）"", ""bakufu, shogunate"" ], [ ""幕末（ばくまつ）"", ""End of Edo era"" ] ]";1509;4026;⼱;59;はば;haba;cloth;3;;
密;mitsu(do);close, secret, dense, fine;11;ミツ;mitsu;;n/a;6;"[ [ ""密林（みつりん）"", ""dense forest, jungle"" ], [ ""密度（みつど）"", ""density"" ], [ ""密室（みっしつ）"", ""closed-door, locked room"" ], [ ""秘密（ひみつ）"", ""secret, secrecy"" ], [ ""密接な（みっせつな）"", ""close, intimate"" ], [ ""過密な（かみつな）"", ""over populated"" ], [ ""緊密な（きんみつな）"", ""close, intimate"" ], [ ""親密な（しんみつな）"", ""intimate, friendly"" ], [ ""厳密な（げんみつな）"", ""strict, rigorous"" ], [ ""密告する（みっこくする）"", ""betray, inform (police), tip off"" ], [ ""密集する（みっしゅうする）"", ""crowd, swarm"" ], [ ""密売する（みつばいする）"", ""smuggle, bootleg"" ] ]";1474;1316;⼧;48;うかんむり;ukanmuri;roof, house;3;かんむり;kanmuri
盟;(ka)mei(suru);alliance, oath;13;メイ;mei;;n/a;6;"[ [ ""盟友（めいゆう）"", ""sworn friend"" ], [ ""盟約（めいやく）"", ""oath, pledge, pact, covenant"" ], [ ""同盟（どうめい）"", ""alliance, union, league"" ], [ ""連盟（れんめい）"", ""league, union, alliance"" ], [ ""加盟する（かめいする）"", ""join, become a member"" ] ]";1787;3119;⽫;136;さら;sara;plate, bowl;5;;
模;mo(you);pattern, imitate, copy, model;14;モ、ボ;mo, bo;;n/a;6;"[ [ ""模範（もはん）"", ""model, example"" ], [ ""模型（もけい）"", ""model, dummy"" ], [ ""模様（もよう）"", ""pattern, figure, design"" ], [ ""模擬試験（もぎしけん）"", ""trial examination, sham examination"" ], [ ""模倣する（もほうする）"", ""imitate, copy"" ], [ ""模造する（もぞうする）"", ""imitation, mimic"" ], [ ""模写する（もしゃする）"", ""copy, reproduce"" ], [ ""規模（きぼ）"", ""scale, scope, size"" ] ]";720;2345;;98;きへん;kihen;tree, wood;4;へん;hen
郵;yuu(bin);mail;11;ユウ;yuu;;n/a;6;"[ [ ""郵便（ゆうびん）"", ""mail, postal service"" ], [ ""郵便物（ゆうびんぶつ）"", ""postal items"" ], [ ""郵便局（ゆうびんきょく）"", ""post office"" ], [ ""郵送料（ゆうそうりょう）"", ""postage, freight costs"" ], [ ""郵便屋さん（ゆうびんやさん）"", ""postman"" ], [ ""郵送する（ゆうそうする）"", ""mail, post, send"" ] ]";1107;4768;⻏;73;おおざと;oozato;village, country, city;3;つくり;tsukuri
幼;osana(i);very young, infantile;5;ヨウ;you;おさない;osanai;6;"[ [ ""幼児（ようじ）"", ""infant, baby, child"" ], [ ""幼女（ようじょ）"", ""little girl"" ], [ ""幼虫（ようちゅう）"", ""larva, chrysalis"" ], [ ""幼少（ようしょう）"", ""infancy, childhood, tender age"" ], [ ""幼年期（ようねんき）"", ""childhood"" ], [ ""幼稚園（ようちえん）"", ""kindergarten"" ], [ ""幼稚な（ようちな）"", ""childish, infantile"" ], [ ""幼い（おさない）"", ""very young, childish"" ], [ ""幼子（おさなご）"", ""infant, baby, little child"" ], [ ""幼心（おさなごころ）"", ""child's mind, child's heart"" ], [ ""幼なじみ（おさななじみ）"", ""childhood friend"" ] ]";140;1495;⺓;62;いとがしら;itogashira;young, slight;3;;
紙;shi-kami;paper;10;シ;shi;かみ;kami;2;"[ [ ""白紙（はくし）"", ""white paper"" ], [ ""用紙（ようし）"", ""blank form"" ], [ ""表紙（ひょうし）"", ""front cover"" ], [ ""新聞紙（しんぶんし）"", ""newspaper"" ], [ ""紙（かみ）"", ""paper"" ], [ ""手紙（てがみ）"", ""letter"" ] ]";879;3510;;158;いとへん;itohen;thread;6;へん;hen
翌;yoku(jitsu);the following, the next;11;ヨク;yoku;;n/a;6;"[ [ ""翌日（よくじつ）"", ""the next day"" ], [ ""翌週（よくしゅう）"", ""the following week"" ], [ ""翌月（よくげつ）"", ""the following month"" ], [ ""翌年（よくねん）"", ""the following year"" ], [ ""翌春（よくしゅん）"", ""the following spring"" ], [ ""翌朝（よくあさ）"", ""the next morning"" ], [ ""翌々日（よくよくじつ）"", ""two days later"" ] ]";1712;3674;⽻;161;はね;hane;feather, wing;6;;
卵;tamago;egg;7;ラン;ran;たまご;tamago;6;"[ [ ""卵黄（らんおう）"", ""egg yolk"" ], [ ""卵白（らんぱく）"", ""white of an egg, albumin"" ], [ ""卵巣（らんそう）"", ""ovary"" ], [ ""卵管（らんかん）"", ""fallopian tube, oviduct"" ], [ ""鶏卵（けいらん）"", ""hens egg"" ], [ ""産卵する（さんらんする）"", ""lay eggs, spawn"" ], [ ""卵（たまご）"", ""egg, spawn, roe"" ], [ ""卵焼き（たまごやき）"", ""omelet"" ], [ ""卵形（たまごがた）"", ""oval, egg-shaped"" ] ]";567;199;⼙;30;ふしづくり;fushizukuri;stamp, seal;2;つくり;tsukuri
覧;(ten)ran(kai);look over, see;17;ラン;ran;;n/a;6;"[ [ ""要覧（ようらん）"", ""outline, survey, handbook"" ], [ ""一覧表（いちらんひょう）"", ""list, table"" ], [ ""観覧車（かんらんしゃ）"", ""Ferris wheel"" ], [ ""展覧会（てんらんかい）"", ""exhibition"" ], [ ""博覧会（はくらんかい）"", ""fair, exhibition, exposition"" ], [ ""一覧する（いちらんする）"", ""take a glance, look over"" ], [ ""回覧する（かいらんする）"", ""circulate (a magazine, etc.)"" ], [ ""ご覧になる（ごらんになる）"", ""look [hon.]"" ] ]";1827;4292;⾒;179;みる;miru;to see;7;;
裏;ri-ura;rear, reverse side, back;13;リ;ri;うら;ura;6;"[ [ ""裏面（りめん）"", ""back, reverse side"" ], [ ""表裏（ひょうり）"", ""front & back, inside & outside"" ], [ ""脳裏（のうり）"", ""one's mind"" ], [ ""裏（うら）"", ""back, reverse side"" ], [ ""裏通り（うらどおり）"", ""side street, back street"" ], [ ""裏口（うらぐち）"", ""backdoor, rear entrance"" ], [ ""裏側（うらがわ）"", ""back, reverse side"" ], [ ""裏表（うらおもて）"", ""both sides, a double-dealer"" ], [ ""裏付ける（うらづける）"", ""support, corroborate, vouch"" ], [ ""裏切る（うらぎる）"", ""betray"" ], [ ""裏返す（うらがえす）"", ""turn inside out, turn over"" ] ]";1354;327;⾐;177;ころも;koromo;clothing;6;;
臨;rin-nozo(mu);be present at, face, confront;18;リン;rin;のぞ、のぞむ;nozo, nozomu;6;"[ [ ""臨終（りんじゅう）"", ""deathbed, dying hour"" ], [ ""臨時（りんじ）"", ""temporary, extraordinary"" ], [ ""臨場感（りんじょうかん）"", ""(stage, personal) presence"" ], [ ""臨床医（りんしょうい）"", ""clinician"" ], [ ""臨機応変（りんきおうへん）"", ""according to circumstance"" ], [ ""臨席する（りんせきする）"", ""attend, be present"" ], [ ""君臨する（くんりんする）"", ""reign, control, dictate"" ], [ ""臨む（のぞむ）"", ""look out on, face, deal with"" ] ]";1083;3840;⾂;203;しん;shin;retainer, minister;6;;
朗;hoga(rakana);cheerful, clear, bright;10;ロウ;rou;ほが、ほがらかな;hoga, hogarakana;6;"[ [ ""朗報（ろうほう）"", ""good news"" ], [ ""明朗な（めいろうな）"", ""bright, clear, cheerful"" ], [ ""朗々と（ろうろうと）"", ""clear, sonorous, full-sounding"" ], [ ""朗読する（ろうどくする）"", ""read aloud, recite"" ], [ ""朗らかな（ほがらかな）"", ""bright, cheerful"" ] ]";891;3762;⽉;95;つき;tsuki;moon, month, period;4;;
依;i(raisuru);depend on;8;イ、エ;i, e;;n/a;n/a;"[ [ ""依頼心（いらいしん）"", ""spirit of dependence"" ], [ ""依頼する（いらいする）"", ""request [v.t.]"" ], [ ""依存する（いぞんする）"", ""depend on, rely on"" ], [ ""依拠する（いきょする）"", ""based on"" ], [ ""依然として（いぜんとして）"", ""still, as yet, as of old"" ], [ ""帰依する（きえする）"", ""devote oneself to (religion)"" ] ]";61;426;⺅;11;にんべん;ninben;person ;2;へん;hen
違;i-chiga(u);differ, violate, different, be mistaken;13;イ;i;ちが、ちがう、ちがえる;chiga, chigau, chigaeru;n/a;"[ [ ""違憲（いけん）"", ""unconstitutionality"" ], [ ""違和感（いわかん）"", ""feeling that something is wrong"" ], [ ""違法な（いほうな）"", ""illegal"" ], [ ""違反する（いはんする）"", ""violate, transgress"" ], [ ""相違する（そういする）"", ""be different, vary, disagree"" ], [ ""違う（ちがう）"", ""differ"" ], [ ""食い違う（くいちがう）"", ""clash, run counter to"" ], [ ""間違い（まちがい）"", ""mistake [n.]"" ], [ ""勘違い（かんちがい）"", ""misunderstanding, wrong guess"" ], [ ""間違える（まちがえる）"", ""err, make a mistake"" ] ]";2014;4720;⻌;72;しんにょう;shinnyou;road, walk, to advance;3;にょう;nyou
鋭;ei-surudo(i);sharp;15;エイ;ei;するど、するどい;surudo, surudoi;n/a;"[ [ ""鋭角（えいかく）"", ""acute angle"" ], [ ""新鋭（しんえい）"", ""new & powerful, fresh"" ], [ ""精鋭（せいえい）"", ""elite, picked, best"" ], [ ""鋭利な（えいりな）"", ""sharp"" ], [ ""鋭敏な（えいびんな）"", ""sharp, keen"" ], [ ""先鋭な（せんえいな）"", ""radical"" ], [ ""鋭い（するどい）"", ""pointed, sharp, keen"" ] ]";1140;4864;;206;かねへん;kanehen;metal, gold, mineral;8;へん;hen
煙;kemu(i);smoke;13;エン;en;けむ、けむる、けむい、けむり;kemu, kemuru, kemui, kemuri;n/a;"[ [ ""煙突（えんとつ）"", ""chimney"" ], [ ""煙幕（えんまく）"", ""smokescreen"" ], [ ""黒煙（こくえん）"", ""black smoke"" ], [ ""発煙筒（はつえんとう）"", ""smoke candle"" ], [ ""喫煙所（きつえんじょ）"", ""smoking area"" ], [ ""禁煙する（きんえんする）"", ""quit smoking"" ], [ ""煙（けむり）"", ""smoke, fumes"" ], [ ""煙る（けむる）"", ""smoke, appear dim [v.i.]"" ], [ ""煙たい（けむたい）"", ""smoky, awkward feeling [adj.]"" ] ]";700;2784;;111;ひへん;hihen;fire;4;へん;hen
書;sho-ka(ku);write, book;10;ショ;sho;か、かく;ka, kaku;2;"[ [ ""書庫（しょこ）"", ""archive"" ], [ ""書斎（しょさい）"", ""study (room)"" ], [ ""書道（しょどう）"", ""calligraphy"" ], [ ""辞書（じしょ）"", ""dictionary"" ], [ ""秘書（ひしょ）"", ""(private) secretary"" ], [ ""図書館（としょかん）"", ""library"" ], [ ""教科書（きょうかしょ）"", ""text book"" ], [ ""参考書（さんこうしょ）"", ""reference book"" ], [ ""証明書（しょうめいしょ）"", ""certificate"" ], [ ""書く（かく）"", ""write"" ], [ ""横書き（よこがき）"", ""writing horizontally"" ] ]";1703;3719;⽇;92;ひ;hi;sun, day, time;4;;
汚;yogo(su);dirty;6;オ;o;けが、よご、きたな、けがす、けがれる、けがらわしい、よごす、よごれる、きたない;kega, yogo, kitana, kegasu, kegareru, kegarawashii, yogosu, yogoreru, kitanai;n/a;"[ [ ""汚水（おすい）"", ""filthy water, sewage"" ], [ ""汚物（おぶつ）"", ""filth, muck, dirt"" ], [ ""汚職（おしょく）"", ""corruption, graft"" ], [ ""汚名（おめい）"", ""stigma, dishonor, infamy"" ], [ ""汚点（おてん）"", ""stain, blot, flaw, disgrace"" ], [ ""汚染する（おせんする）"", ""pollute, contaminate"" ], [ ""汚す（けがす）"", ""disgrace, dishonor [v.t.]"" ], [ ""汚れる（けがれる）"", ""be corrupted, be polluted [v.i.]"" ], [ ""汚らわしい（けがらわしい）"", ""filthy, obscene, dirty"" ], [ ""汚す（よごす）"", ""make dirty[v.t.]"" ], [ ""汚れる（よごれる）"", ""get dirty, become dirty [v.i.]"" ], [ ""汚い（きたない）"", ""dirty, unclean, filthy"" ] ]";163;2494;⺡;76;さんずい;sanzui;water;3;へん;hen
押;ou-o(saeru);push;8;オウ;ou;お、おす、おさえる;o, osu, osaeru;n/a;"[ [ ""押収する（おうしゅうする）"", ""seize, confiscate"" ], [ ""押印する（おういんする）"", ""affix one's seal"" ], [ ""押捺する（おうなつする）"", ""seal, stamp, imprint"" ], [ ""押す（おす）"", ""push, press, stamp"" ], [ ""押し売り（おしうり）"", ""high-pressure salesmanship"" ], [ ""押し問答（おしもんどう）"", ""dispute, heated Q&A"" ], [ ""押し入れ（おしいれ）"", ""closet"" ], [ ""押さえる（おさえる）"", ""press down, stop, seize"" ] ]";234;1885;⺘;77;てへん;tehen;hand;3;へん;hen
欧;(sei)ou;Europe;8;オウ;ou;;n/a;n/a;"[ [ ""欧州（おうしゅう）"", ""Europe"" ], [ ""欧米（おうべい）"", ""Europe and America, the West"" ], [ ""西欧（せいおう）"", ""Western Europe"" ], [ ""東欧（とうおう）"", ""Eastern Europe"" ], [ ""南欧（なんおう）"", ""Southern Europe"" ], [ ""北欧（ほくおう）"", ""Northern Europe"" ] ]";596;2413;⽋;99;あくび;akubi;to lack, yawn;4;;
菓;(o)ka(shi);confectionery, cake;11;カ;ka;;n/a;n/a;"[ [ ""菓子（かし）"", ""pastry"" ], [ ""菓子屋（かしや）"", ""confectionery shop"" ], [ ""銘菓（めいか）"", ""cake of a well-known brand"" ], [ ""和菓子（わがし）"", ""Japanese confectionery"" ], [ ""洋菓子（ようがし）"", ""Western confectionery"" ], [ ""水菓子（みずがし）"", ""fruit"" ] ]";1482;3980;⺾;71;くさかんむり;kusakanmuri;grass;3;かんむり;kanmuri
靴;kutsu;shoes;13;カ;ka;くつ;kutsu;n/a;"[ [ ""軍靴（ぐんか）"", ""military shoes"" ], [ ""製靴業（せいかぎょう）"", ""the shoemaking industry"" ], [ ""靴（くつ）"", ""shoes, footwear"" ], [ ""靴屋（くつや）"", ""shoemaker, shoe store"" ], [ ""靴下（くつした）"", ""socks"" ], [ ""靴墨（くつずみ）"", ""shoe polish"" ], [ ""靴音（くつおと）"", ""walking sound, footsteps"" ], [ ""革靴（かわぐつ）"", ""leather shoes"" ], [ ""長靴（ながぐつ）"", ""long boots"" ], [ ""運動靴（うんどうぐつ）"", ""sports shoes, sneakers"" ], [ ""紳士靴（しんしぐつ）"", ""men's shoes"" ] ]";1165;5092;⾰;215;つくりがわ;tsukurigawa;leather;9;;
掛;(mi)ka(ke);set, hang;11;;n/a;か、かける、かけ、かかる、かかり;ka, kakeru, kake, kakaru, kakari;n/a;"[ [ ""掛け算（かけざん）"", ""multiplication"" ], [ ""腰掛け（こしかけ）"", ""seat, bench"" ], [ ""仕掛け（しかけ）"", ""device, trick, mechanism"" ], [ ""掛ける（かける）"", ""hang, cover, sit down, pour [v.t.]"" ], [ ""出掛ける（でかける）"", ""got out, depart"" ], [ ""言い掛ける（いいかける）"", ""begin speaking"" ], [ ""心掛ける（こころがける）"", ""bear in mind, aim to"" ], [ ""見せ掛ける（みせかける）"", ""pretend, feign"" ], [ ""掛かる（かかる）"", ""hang, be locked [v.i.]"" ], [ ""掛（かかり）"", ""charge, duty, post"" ], [ ""親掛かり（おやがかり）"", ""dependent on one's parents"" ] ]";361;1952;⺘;77;てへん;tehen;hand;3;へん;hen
汗;ase;sweat;6;カン;kan;あせ;ase;n/a;"[ [ ""汗腺（かんせん）"", ""sweat gland"" ], [ ""発汗する（はっかんする）"", ""sweat [v.i.]"" ], [ ""汗（あせ）"", ""sweat, perspiration"" ], [ ""汗かき（あせかき）"", ""person who sweats a lot"" ], [ ""汗だく（あせだく）"", ""dripping with sweat"" ], [ ""汗ばむ（あせばむ）"", ""be slightly sweaty"" ], [ ""冷や汗（ひやあせ）"", ""cold sweat"" ] ]";161;2493;⺡;76;さんずい;sanzui;water;3;へん;hen
缶;kan(zume);can;6;カン;kan;;n/a;n/a;"[ [ ""缶（かん）"", ""can, tin"" ], [ ""缶切り（かんきり）"", ""can opener"" ], [ ""缶詰め（かんづめ）"", ""canned goods, tin can"" ], [ ""空き缶（あきかん）"", ""empty can"" ] ]";1282;3634;⽸;159;みずがめ;mizugame;earthen jar;6;;
患;kan-wazura(u);affected by disease, be ill, suffer;11;カン;kan;わずら、わずらう;wazura, wazurau;n/a;"[ [ ""患者（かんじゃ）"", ""patient [n.]"" ], [ ""患部（かんぶ）"", ""affected part"" ], [ ""急患（きゅうかん）"", ""emergency case"" ], [ ""患う（わずらう）"", ""fall ill"" ], [ ""長患い（ながわずらい）"", ""long illness"" ] ]";1760;1697;⼼;80;こころ;kokoro;heart, mind, spirit;4;;
幾;iku(tsu);how many/much, some;12;キ;ki;いく、いくつ、いくら;iku, ikutsu, ikura;n/a;"[ [ ""幾何学（きかがく）"", ""geometry"" ], [ ""幾ら（いくら）"", ""how much?, how many?"" ], [ ""幾つ（いくつ）"", ""how many?, how old?"" ], [ ""幾らか（いくらか）"", ""some, somewhat, a little"" ], [ ""幾日も（いくにちも）"", ""for many days, for some days"" ], [ ""幾分（いくぶん）"", ""somewhat"" ], [ ""幾度も（いくども）"", ""many times, often"" ] ]";2229;1496;⺓;62;いとがしら;itogashira;young, slight;3;;
秋;aki;autumn;9;シュウ;shuu;あき;aki;2;"[ [ ""秋分（しゅうぶん）"", ""autumn equinox"" ], [ ""秋（あき）"", ""autumn"" ], [ ""秋風（あきかぜ）"", ""autumn breeze"" ], [ ""秋学期（あきがっき）"", ""autumn semester/quarter"" ] ]";776;3273;⽲;145;のぎへん;nogihen;grain;5;へん;hen
詰;kitsu-tsu(meru);reprimand, stuff, closely packed, cram;13;キツ;kitsu;つ、つめる、つまる、つむ;tsu, tsumeru, tsumaru, tsumu;n/a;"[ [ ""詰問する（きつもんする）"", ""cross-examine"" ], [ ""詰める（つめる）"", ""pack, fill, plug, shorten [v.t.]"" ], [ ""缶詰め（かんづめ）"", ""canned goods, tin can"" ], [ ""箱詰め（はこづめ）"", ""packed in a box [n.]"" ], [ ""詰まる（つまる）"", ""be blocked, be packed [v.i.]"" ], [ ""鼻詰まり（はなづまり）"", ""nasal congestion"" ], [ ""気詰まり（きづまり）"", ""feel ill at ease, constraint [n.]"" ], [ ""詰む（つむ）"", ""close, become fine"" ] ]";1021;4359;;183;ごんべん;gonben;words, to speak, say;7;へん;hen
叫;sake(bu);shout, scream;6;キョウ;kyou;さけ、さけぶ;sake, sakebu;n/a;"[ [ ""阿鼻叫喚（あびきょうかん）"", ""agonizing cries, pandemonium"" ], [ ""絶叫する（ぜっきょうする）"", ""scream, shout [v.i.]"" ], [ ""叫ぶ（さけぶ）"", ""scream, shout [v.i.]"" ], [ ""叫び声（さけびごえ）"", ""shout, scream [n.]"" ] ]";149;881;;35;くちへん;kuchihen;mouth;3;へん;hen
況;(kin)kyou;conditions, situation, circumstances;8;キョウ;kyou;;n/a;n/a;"[ [ ""状況（じょうきょう）"", ""state of affairs, circumstances"" ], [ ""戦況（せんきょう）"", ""progress of a battle"" ], [ ""近況（きんきょう）"", ""recent situation"" ], [ ""実況（じっきょう）"", ""real situation, actual scene"" ], [ ""好況（こうきょう）"", ""healthy economy, prosperity"" ], [ ""不況（ふきょう）"", ""recession, depression, slump"" ], [ ""盛況（せいきょう）"", ""success, prosperity, flourishing"" ], [ ""市況（しきょう）"", ""market conditions"" ] ]";252;2516;⺡;76;さんずい;sanzui;water;3;へん;hen
挟;hasa(maru);hold between, interpose;9;キョウ;kyou;はさ、はさむ、はさまる;hasa, hasamu, hasamaru;n/a;"[ [ ""挟撃（きょうげき）"", ""pincer movement"" ], [ ""挟む（はさむ）"", ""interpose, insert, pinch [v.t.]"" ], [ ""挟み撃ち（はさみうち）"", ""pincer attack"" ], [ ""挟まる（はさまる）"", ""get between, be caught in [v.i.]"" ] ]";277;1915;⺘;77;てへん;tehen;hand;3;へん;hen
偶;guu(zen);by chance, even number, (married)couple;11;グウ;guu;;n/a;n/a;"[ [ ""偶数（ぐうすう）"", ""even number"" ], [ ""偶像（ぐうぞう）"", ""idol, icon, image"" ], [ ""偶然（ぐうぜん）"", ""fortuity, chance, accident"" ], [ ""配偶者（はいぐうしゃ）"", ""spouse"" ], [ ""偶発的な（ぐうはつてきな）"", ""accidental, incidental"" ] ]";100;508;⺅;11;にんべん;ninben;person ;2;へん;hen
隅;guu-sumi;nook, corner;12;グウ;guu;すみ;sumi;n/a;"[ [ ""一隅（いちぐう）"", ""corner, nook"" ], [ ""隅（すみ）"", ""corner, nook"" ], [ ""隅々（すみずみ）"", ""every nook and corner"" ], [ ""片隅（かたすみ）"", ""corner, nook"" ], [ ""四隅（よすみ）"", ""four corners"" ] ]";450;5009;⻖;74;こざとへん;kozatohen;hill, mound;3;へん;hen
掘;kutsu-ho(ru);dig;11;クツ;kutsu;ほ、ほる;ho, horu;n/a;"[ [ ""掘削する（くっさくする）"", ""dig out, excavate"" ], [ ""発掘する（はっくつする）"", ""excavate, unearth, exhume"" ], [ ""採掘する（さいくつする）"", ""mine [v.t.]"" ], [ ""掘る（ほる）"", ""dig, excavate"" ], [ ""掘り下げる（ほりさげる）"", ""dig down, delve into"" ], [ ""掘り返す（ほりかえす）"", ""dig up, turn up, tear up"" ], [ ""掘り出し物（ほりだしもの）"", ""good buy, bargain, treasure"" ], [ ""露天堀り（ろてんぼり）"", ""open air strip mining"" ] ]";364;1095;⺘;77;てへん;tehen;hand;3;へん;hen
